id,name,resource,total_comments,average_completion_rate,negative,positive,neutral,num_users,course_classification
C_676653,创业成功第一步：写好商业计划书,24,1.0,0.655650632739341,0.0,0.0,0.0,43,bad
C_676656,创业启程,174,2036.0,0.0,41.0,157.0,1838.0,21003,bad
C_676658,党的十九大精神概论,77,1.0,0.655650632739341,0.0,0.0,0.0,9012,normal
C_676659,审美的历程,85,1.0,0.655650632739341,0.0,0.0,0.0,6901,normal
C_676661,创意 Creativity,34,1.0,0.655650632739341,0.0,1.0,0.0,10349,good
C_676662,生活、艺术与时尚：中国服饰七千年,130,1.0,0.655650632739341,0.0,0.0,0.0,12298,normal
C_676664,大国航母与舰载机,98,1.0,0.7833409015227197,0.0,0.0,1.0,11833,good
C_676681,婚恋·职场·人格,25,1.0,0.655650632739341,0.0,0.0,0.0,2537,bad
C_676682,文科物理学——生活中的物理,67,1.0,0.655650632739341,0.0,0.0,0.0,5010,normal
C_676683,积极心理学（下）自强不息篇,65,1.0,0.655650632739341,0.0,0.0,0.0,34310,good
C_676685,经典导读与欣赏,58,1.0,0.655650632739341,0.0,0.0,0.0,4009,normal
C_676686,经典与思考——人文清华大师面对面,84,1.0,0.655650632739341,0.0,0.0,0.0,6263,normal
C_676687,决胜移动互联网：创业者的商业模式课,83,1.0,0.655650632739341,0.0,0.0,0.0,4416,normal
C_676697,孙子兵法,72,1.0,0.655650632739341,0.0,0.0,0.0,8295,normal
C_676705,民法与生活,113,2.0,0.9241773962804006,0.0,0.0,2.0,1348,good
C_676820,外国工艺美术史,115,1.0,0.655650632739341,0.0,0.0,0.0,8458,normal
C_676885,幼儿音乐教育与活动指导,72,1.0,0.655650632739341,0.0,0.0,0.0,6918,normal
C_676887,技术创新管理,9,1.0,0.655650632739341,0.0,1.0,0.0,274,good
C_676890,环境污染事件与应急响应,102,1.0,0.655650632739341,0.0,0.0,0.0,756,normal
C_676897,现代礼仪与修养,97,1.0,0.655650632739341,0.0,0.0,0.0,2661,normal
C_676898,物理与人类未来,158,1.0,0.655650632739341,0.0,0.0,0.0,13122,normal
C_676900,诗情画意的光学,50,1.0,0.655650632739341,0.0,0.0,0.0,4419,normal
C_676902,西方思想经典与现代社会,61,1.0,0.655650632739341,0.0,0.0,0.0,3491,normal
C_676907,社会创新与创业,37,1.0,0.655650632739341,0.0,0.0,0.0,3896,normal
C_676915,现代礼仪,55,1.0,0.655650632739341,0.0,0.0,0.0,13388,normal
C_676918,技术创新简史,54,1.0,0.655650632739341,0.0,0.0,0.0,327,bad
C_676934,设计的力量,61,1.0,0.655650632739341,0.0,0.0,0.0,3175,normal
C_676950,比较宪法,41,1.0,0.655650632739341,0.0,0.0,0.0,4711,normal
C_676953,汇编语言程序设计,140,1.0,0.655650632739341,0.0,0.0,0.0,7346,normal
C_676962,自然保护与生态安全：拯救地球家园,48,1.0,0.655650632739341,0.0,0.0,0.0,1497,bad
C_676967,华文教育技术与实践,75,1.0,0.655650632739341,0.0,0.0,0.0,1624,normal
C_676969,中国房地产发展之路,93,1.0,0.9285714285714286,0.0,0.0,0.0,11408,good
C_676978,原来姹紫嫣红开遍——昆曲艺术欣赏,35,1.0,0.655650632739341,0.0,0.0,0.0,2227,bad
C_676996,20世纪西方音乐,26,4.0,0.75,0.0,4.0,0.0,11350,good
C_677004,古诗今读,41,3.0,0.4851851851851852,0.0,0.0,3.0,3187,bad
C_677009,大学美育,47,1.0,0.5555555555555556,0.0,1.0,0.0,3650,good
C_677010,Java程序设计,141,1.0,0.3333333333333333,0.0,0.0,0.0,42690,bad
C_677014,中国传统文化,58,64.0,0.8004399985676587,1.0,42.0,21.0,5604,good
C_677019,英语畅谈中国,90,1.0,0.655650632739341,0.0,0.0,0.0,16323,normal
C_677020,中国古代礼义文明——礼学经典,111,1.0,0.655650632739341,0.0,0.0,0.0,11948,normal
C_677026,互联网思维,13,1.0,0.655650632739341,0.0,0.0,0.0,33,bad
C_677028,中国古代礼义文明——礼制,91,1.0,0.655650632739341,0.0,0.0,0.0,8366,normal
C_677031,传播学原理,63,1.0,0.655650632739341,0.0,0.0,0.0,8332,normal
C_677038,e时代的大佬师——慕课教师的修炼心法,40,1.0,0.655650632739341,0.0,0.0,0.0,5084,normal
C_677043,慕课问道,29,1.0,0.655650632739341,0.0,1.0,0.0,4392,good
C_677045,e时代的教与学——慕课引发的混合式教学,56,1.0,0.655650632739341,0.0,0.0,0.0,5377,normal
C_677055,实用绳结技术,48,1.0,0.655650632739341,0.0,0.0,0.0,1225,bad
C_677061,中国少数民族神话赏析,102,7.0,0.9609126984126984,0.0,0.0,7.0,1631,good
C_677077,中国文学名著选读,61,1.0,0.655650632739341,0.0,0.0,0.0,7657,normal
C_677076,美国政治概论,105,1.0,0.655650632739341,0.0,0.0,0.0,7641,normal
C_677087,中国哲学经典著作导读,92,20.0,0.7741263766653371,3.0,7.0,10.0,6676,good
C_677089,结构力学,96,1.0,0.655650632739341,0.0,0.0,0.0,3019,normal
C_677095,庄子哲学导读,31,1.0,0.655650632739341,0.0,0.0,0.0,8544,normal
C_677093,人像摄影,181,1.0,0.655650632739341,0.0,0.0,0.0,12800,normal
C_677102,走进性科学,60,1.0,0.655650632739341,0.0,0.0,0.0,3386,normal
C_677110,科学计算与MATLAB语言,70,2.0,0.4722222222222222,0.0,1.0,1.0,5841,good
C_677118,走近中华优秀传统文化,55,1.0,0.655650632739341,0.0,0.0,0.0,6479,normal
C_677130,歌唱启蒙与表演——教你成为歌唱达人,55,1.0,0.655650632739341,0.0,0.0,0.0,7595,normal
C_677129,媒体大数据挖掘与案例实战,58,1.0,0.0,0.0,0.0,0.0,2072,bad
C_677133,数据库系统（上）：模型与语言,118,1.0,0.655650632739341,0.0,0.0,0.0,3166,normal
C_677136,教学论,162,28.0,0.7715602487919605,0.0,21.0,7.0,8196,good
C_677140,数据库系统（下）：管理与技术,85,1.0,0.655650632739341,0.0,0.0,0.0,1227,normal
C_677142,国学入门,90,1.0,0.655650632739341,0.0,0.0,0.0,1281,normal
C_677144,游戏心理学,67,3.0,0.6196919821804547,1.0,1.0,1.0,2168,bad
C_677150,Web开发技术,73,1.0,0.655650632739341,0.0,0.0,0.0,4314,normal
C_677159,影视制作入门,54,1.0,0.655650632739341,0.0,0.0,0.0,14042,normal
C_677161,道路交通环境保护,54,1.0,0.655650632739341,0.0,0.0,1.0,275,bad
C_677164,酒·文化,44,1.0,0.655650632739341,0.0,0.0,0.0,3521,normal
C_677167,设计之美,80,1.0,0.655650632739341,0.0,0.0,0.0,2652,normal
C_677168,影视广告设计,78,1.0,0.655650632739341,0.0,0.0,0.0,1443,normal
C_677172,大学物理（力学）,72,1.0,0.655650632739341,0.0,0.0,0.0,1275,normal
C_677174,智圆行方的世界： 中国传统文化概论,94,1.0,0.655650632739341,0.0,0.0,0.0,2158,normal
C_677179,古典社会学理论,99,3.0,0.655650632739341,1.0,0.0,2.0,1897,bad
C_677185,影像中的人类学,90,1.0,0.655650632739341,0.0,0.0,0.0,1505,normal
C_677187,创新设计梦工场,45,1.0,0.655650632739341,0.0,0.0,0.0,413,bad
C_677189,家庭理财,53,1.0,0.655650632739341,0.0,0.0,0.0,3901,normal
C_677193,创业运营演练,59,1.0,0.655650632739341,0.0,0.0,0.0,988,bad
C_677192,视听语言,90,1.0,0.655650632739341,0.0,0.0,0.0,2248,normal
C_677236,心理学与生活,45,1.0,0.655650632739341,0.0,0.0,0.0,16841,normal
C_677241,校园心理学：让每一个学生顺利成长,39,1.0,0.655650632739341,0.0,0.0,0.0,1405,bad
C_677243,《易经》的政治智慧,50,1.0,0.655650632739341,0.0,0.0,0.0,23279,normal
C_677249,质性研究方法,65,1.0,0.655650632739341,0.0,0.0,0.0,6516,normal
C_680710,长安与中国佛教,48,1.0,0.655650632739341,0.0,0.0,0.0,5522,normal
C_680714,电子商务,21,1.0,0.655650632739341,0.0,0.0,0.0,4379,bad
C_680716,营销策划,32,1.0,0.655650632739341,0.0,0.0,0.0,7658,normal
C_680719,中国电影艺术简史,27,2.0,0.6651522513767412,0.0,0.0,2.0,1667,bad
C_680722,醉美葡萄酒,67,1.0,0.655650632739341,0.0,0.0,0.0,9372,normal
C_680724,质量管理,36,1.0,0.655650632739341,0.0,0.0,0.0,2241,bad
C_680726,汉语文字词汇,70,1.0,0.655650632739341,0.0,0.0,0.0,2757,normal
C_680728,现代企业物流,28,1.0,0.655650632739341,0.0,0.0,0.0,2171,bad
C_680730,手把手教你心理咨询：谈话的艺术,37,1.0,0.655650632739341,0.0,0.0,0.0,6347,normal
C_680738,系统化产品设计与开发,145,1.0,0.655650632739341,0.0,0.0,0.0,2159,normal
C_680740,产业组织理论,69,1.0,0.655650632739341,0.0,0.0,0.0,13485,normal
C_680741,绿色建筑与可持续发展,88,1.0,0.655650632739341,0.0,0.0,0.0,6599,normal
C_680745,学做小程序——基础篇,41,1.0,0.655650632739341,0.0,0.0,0.0,15854,normal
C_680747,Linux系统管理,51,9.0,0.7349818950258609,0.0,6.0,3.0,2918,good
C_680751,创新材料学,94,1.0,0.655650632739341,0.0,0.0,0.0,1260,normal
C_680752,适老居住空间与环境设计,53,1.0,0.655650632739341,0.0,0.0,0.0,8339,normal
C_680753,校园风物与大学文化——以清华大学为例,40,1.0,0.655650632739341,0.0,1.0,0.0,4712,good
C_680754,界面设计导论,61,1.0,0.655650632739341,0.0,0.0,0.0,6510,normal
C_680757,量子力学（下）,88,1.0,0.655650632739341,0.0,0.0,0.0,3621,normal
C_680759,量子力学（上）,112,1.0,0.655650632739341,0.0,0.0,0.0,8772,normal
C_680761,电路基础及应用,100,1.0,0.655650632739341,0.0,0.0,0.0,17580,normal
C_680767,创新的积极心理学,15,1.0,0.655650632739341,0.0,0.0,0.0,107,bad
C_680769,青少年创客与全球名校申请,14,1.0,0.655650632739341,1.0,0.0,0.0,468,bad
C_680770,汽车底盘构造,137,1.0,0.655650632739341,0.0,0.0,0.0,7099,normal
C_680771,铜版画制作,32,1.0,0.655650632739341,0.0,0.0,0.0,9705,normal
C_680777,山水画技法,28,1.0,0.655650632739341,0.0,0.0,0.0,14843,normal
C_680779,钢筋混凝土耐久性导论,53,1.0,0.655650632739341,0.0,0.0,0.0,9716,normal
C_680780,建设项目管理,45,1.0,0.655650632739341,0.0,0.0,0.0,2762,normal
C_680786,动态测试与分析（上）,115,1.0,0.655650632739341,0.0,0.0,0.0,402,normal
C_680788,电磁场工程应用,93,1.0,0.655650632739341,0.0,0.0,0.0,2808,normal
C_680789,钢琴艺术及名著欣赏,44,16.0,0.655650632739341,0.0,1.0,15.0,2594,normal
C_680792,动态测试与分析（下）,96,1.0,0.655650632739341,0.0,0.0,0.0,337,normal
C_680804,材料现代研究方法,70,1.0,0.7363636363636364,0.0,0.0,0.0,1809,normal
C_680805,中国工笔人物画赏析与创作,29,1.0,0.655650632739341,0.0,0.0,0.0,4828,normal
C_680808,建筑环境学,94,1.0,0.655650632739341,0.0,0.0,0.0,10363,normal
C_680807,金属矿床露天开采,131,1.0,0.655650632739341,0.0,0.0,0.0,137,normal
C_680817,中国电影经典影片鉴赏,69,2.0,0.7591215231801182,1.0,0.0,1.0,4073,bad
C_680819,隋唐五代史专题,58,1.0,0.7521714917712942,0.0,0.0,0.0,3122,good
C_680820,大学化学,141,1.0,0.655650632739341,0.0,0.0,0.0,4958,normal
C_680821,一舞一世界——世界经典舞蹈赏析,46,3.0,0.46875,0.0,3.0,0.0,3170,good
C_680823,营销在移动互联网时代,59,1.0,0.655650632739341,0.0,0.0,0.0,18634,normal
C_680830,ACCA F2 管理会计,98,1.0,0.655650632739341,0.0,0.0,0.0,1821,normal
C_680835,土力学,206,1.0,0.655650632739341,0.0,0.0,0.0,680,normal
C_680841,内部控制与风险管理,141,1.0,0.655650632739341,0.0,0.0,0.0,2716,normal
C_680844,奇异的仿生学,55,1.0,0.655650632739341,0.0,0.0,0.0,496,bad
C_680849,日语交际功能语法,192,1.0,0.655650632739341,0.0,0.0,0.0,2457,normal
C_680852,2017年清华大学研究生学位论文答辩（二）,15,1.0,0.655650632739341,0.0,0.0,0.0,55,bad
C_680854,广播电视广告（理论）,48,1.0,0.655650632739341,0.0,0.0,0.0,1079,bad
C_680859,采油工程,108,1.0,0.655650632739341,0.0,0.0,0.0,1526,normal
C_680860,唐史四讲,47,1.0,0.655650632739341,0.0,0.0,0.0,1720,bad
C_680870,跟我学如何挑选服装,40,1.0,0.655650632739341,0.0,0.0,0.0,2325,bad
C_680871,船,66,1.0,0.655650632739341,0.0,0.0,0.0,618,bad
C_680879,学术之道,8,1.0,0.655650632739341,0.0,0.0,0.0,1692,bad
C_680881,创新创业基础,41,436.0,0.6818183505183543,0.0,14.0,422.0,7313,normal
C_680882,数字化教师信息技术素养,84,1.0,0.655650632739341,0.0,0.0,0.0,76,normal
C_680884,复变函数,69,3.0,0.9536821705426356,1.0,0.0,2.0,4673,bad
C_680886,会计学原理,36,1.0,0.655650632739341,0.0,0.0,0.0,5256,normal
C_680890,工程估价,37,1.0,0.655650632739341,0.0,0.0,0.0,2675,bad
C_680891,知识产权法,60,1.0,0.655650632739341,0.0,0.0,0.0,1473,normal
C_680898,微电子电路基础,47,1.0,0.655650632739341,0.0,0.0,0.0,1151,bad
C_680900,学在南哲：哲学与哲人,36,1.0,0.655650632739341,0.0,0.0,0.0,645,bad
C_680903,中国近现代史纲要,194,1.0,0.655650632739341,0.0,0.0,0.0,2868,normal
C_680905,现代检测技术,81,6.0,0.6786506777945046,0.0,0.0,6.0,1432,normal
C_680915,道路工程材料,90,1.0,0.625,0.0,0.0,0.0,710,bad
C_680916,中国古代建筑艺术,77,2.0,0.6173269972591126,0.0,2.0,0.0,1581,good
C_680919,教＆学微辞典,7,1.0,0.655650632739341,0.0,0.0,0.0,785,bad
C_680920,华为成功之道：人力资源管理的最佳实践,17,1.0,0.7857142857142857,0.0,0.0,0.0,270,good
C_680921,创业者心理学：积极心态的力量,16,1.0,0.655650632739341,0.0,0.0,0.0,103,bad
C_680922,向京东学什么--创京东的十个启示（组织管理与领导力方向）【尚德6】,14,1.0,0.655650632739341,0.0,0.0,0.0,255,bad
C_680926,水彩,52,1.0,0.655650632739341,0.0,0.0,0.0,2990,normal
C_680927,国际名酒知识与品鉴,32,1.0,0.655650632739341,0.0,0.0,0.0,4591,normal
C_680929,华文教学的理念与方法,53,1.0,0.655650632739341,0.0,0.0,0.0,4712,normal
C_680931,基于R语言的社会统计分析,66,1.0,0.0,0.0,0.0,0.0,4834,bad
C_680937,华文趣味教学法,67,1.0,0.655650632739341,0.0,0.0,0.0,9524,normal
C_680938,营商的法律智慧：商法,40,1.0,0.655650632739341,1.0,0.0,0.0,84,bad
C_680941,管理咨询,46,1.0,0.655650632739341,0.0,0.0,0.0,1593,bad
C_680943,外贸单证操作,142,1.0,0.8809104328932567,1.0,0.0,0.0,1737,bad
C_680951,管理思想史,27,1.0,0.655650632739341,0.0,0.0,0.0,2674,bad
C_680955,国际学术交流英语,68,1.0,0.8011111111111111,0.0,0.0,0.0,656,good
C_680958,精细化学品生产工艺学,177,1.0,0.655650632739341,0.0,0.0,0.0,14268,good
C_680961,思维与逻辑——应该如何讲理,37,1.0,0.655650632739341,0.0,0.0,0.0,11094,normal
C_680963,腐蚀与防护,51,1.0,0.655650632739341,0.0,0.0,0.0,8211,normal
C_680971,风景园林艺术原理,44,1.0,0.655650632739341,0.0,0.0,0.0,2546,bad
C_680972,虚拟现实技术及应用,63,1.0,0.655650632739341,0.0,0.0,0.0,2342,normal
C_680974,会计师与企业（ACCA F1）,173,1.0,0.655650632739341,0.0,0.0,0.0,1192,normal
C_680975,以案说法,124,1.0,0.655650632739341,0.0,0.0,0.0,1499,normal
C_680977,本科生英文论文写作,30,1.0,0.655650632739341,0.0,0.0,0.0,829,bad
C_680978,中国文化与文学精粹,63,1.0,0.7870370370370371,0.0,0.0,1.0,926,good
C_680980,植物景观规划设计导论,75,1.0,0.0,0.0,0.0,0.0,8783,bad
C_680981,总经理领导力突破的六堂课,63,1.0,0.655650632739341,0.0,0.0,0.0,77,bad
C_680984,食品微生物学,51,1.0,0.5454545454545454,0.0,0.0,0.0,885,bad
C_680986,石油工程岩石力学,100,1.0,0.655650632739341,0.0,0.0,0.0,6910,normal
C_680987,冬奥英语,35,1.0,0.655650632739341,0.0,0.0,0.0,15888,normal
C_680991,基础会计学,83,1.0,0.655650632739341,0.0,0.0,0.0,1727,normal
C_680992,网络综合布线,91,11.0,0.8006825120435038,2.0,9.0,0.0,4142,good
C_680993,混凝土建筑结构,84,1.0,0.655650632739341,0.0,0.0,0.0,10007,normal
C_681001,国际旅游发展动态,66,1.0,0.7714528668610301,0.0,0.0,1.0,1401,good
C_681006,无机化学,143,1.0,0.655650632739341,0.0,0.0,0.0,5355,normal
C_681007,第二语言习得 (英文版),70,1.0,0.4116880426033031,0.0,0.0,0.0,844,bad
C_681009,机械基础实验,87,1.0,0.655650632739341,0.0,0.0,0.0,1255,normal
C_681010,互联网时代的营销变革,80,1.0,0.4680946368446368,0.0,1.0,0.0,962,good
C_681012,ACCA F7 财务报告,86,1.0,0.655650632739341,0.0,0.0,0.0,859,normal
C_681015,食品微生物学,79,1.0,0.655650632739341,0.0,0.0,0.0,2319,normal
C_681017,人人爱物流,67,1.0,0.655650632739341,0.0,0.0,0.0,343,bad
C_681021,水污染控制工程,99,1.0,0.655650632739341,0.0,0.0,0.0,1531,normal
C_681025,创新创业基础,107,1.0,0.655650632739341,0.0,0.0,0.0,1697,normal
C_681026,思想道德修养与法律基础,91,1.0,0.655650632739341,0.0,0.0,0.0,1669,normal
C_681027,民族手工艺术——走进生活,46,2.0,0.7106752136752137,0.0,2.0,0.0,1693,good
C_681028,耕作学——农业生态转型的理论与实践,56,1.0,0.7177777777777778,0.0,0.0,0.0,618,normal
C_681031,印刷色彩基础与实务（中国轻工业十三五数字化项目）,102,10.0,0.6558469851911222,1.0,4.0,5.0,3056,good
C_681032,摄影艺术概论,42,1.0,0.6921894507608792,0.0,0.0,0.0,1313,normal
C_681034,导航原理,74,1.0,0.655650632739341,0.0,0.0,0.0,1628,normal
C_681036,Transforming Our World,13,1.0,0.655650632739341,0.0,0.0,0.0,79,bad
C_681037,Cities and the Challenge of Sustainable Development,10,1.0,0.655650632739341,0.0,0.0,0.0,130,bad
C_681038,Planetary Boundaries,112,1.0,0.655650632739341,0.0,0.0,0.0,58,normal
C_681039,The Best Start in Life: Early Childhood Development for Sustainable Development,73,1.0,0.655650632739341,0.0,0.0,0.0,151,bad
C_681041,Climate Change Science and Negotiations,59,1.0,0.655650632739341,0.0,0.0,0.0,70,bad
C_681043,葡萄和葡萄酒,32,1.0,0.655650632739341,0.0,1.0,0.0,1002,good
C_681045,刑事审判心理学,70,1.0,0.6614583333333333,0.0,1.0,0.0,3728,good
C_681049,Solar Energy,62,1.0,0.655650632739341,0.0,0.0,0.0,788,bad
C_681057,Socially-Responsible Real Estate Development: Learning to Use Impact Assessment Tools Effectively,43,1.0,0.655650632739341,0.0,1.0,0.0,728,good
C_681059,AP Biology - Part 2: Genetics,34,1.0,0.655650632739341,0.0,0.0,0.0,79,bad
C_681068,兽医产科学,57,1.0,0.655650632739341,0.0,0.0,0.0,967,bad
C_681073,音乐漫步,56,7.0,0.9345238095238096,0.0,2.0,5.0,1112,good
C_681074,普通逻辑学,59,1.0,0.655650632739341,0.0,0.0,0.0,3884,normal
C_681075,中国古代文学,100,1.0,0.655650632739341,0.0,0.0,0.0,2059,normal
C_681076,世界文明史,60,1.0,0.655650632739341,0.0,0.0,0.0,5572,normal
C_681079,生命科学与人类生活,26,1.0,0.655650632739341,0.0,0.0,0.0,257,bad
C_681080,网络技术与应用实验,50,1.0,0.655650632739341,0.0,0.0,0.0,1071,bad
C_681081,藏语言文字学概论,80,1.0,0.655650632739341,0.0,0.0,0.0,3137,normal
C_681083,教学的艺术,89,1.0,0.655650632739341,0.0,0.0,0.0,2971,normal
C_681084,计算机绘图与CAD,48,1.0,0.655650632739341,0.0,0.0,0.0,4423,normal
C_681086,书法鉴赏,45,1.0,0.655650632739341,0.0,0.0,0.0,1115,bad
C_681087,纪录片专题研究,37,1.0,0.655650632739341,0.0,0.0,0.0,830,bad
C_681088,会计学基础,51,1.0,0.655650632739341,0.0,0.0,0.0,12866,normal
C_681091,足球竞赛规则与裁判法分析,28,1.0,0.5991862906867601,0.0,0.0,0.0,836,bad
C_681094,智能控制导论,66,1.0,0.655650632739341,0.0,0.0,0.0,1006,normal
C_681099,大学葡萄牙语,31,1.0,0.7305555555555556,0.0,0.0,0.0,820,normal
C_681100,传统社会的婚姻家庭,43,1.0,0.655650632739341,0.0,0.0,0.0,781,bad
C_681103,区块链技术入门——高校区块链大赛培训,25,1.0,0.655650632739341,0.0,0.0,0.0,945,bad
C_681105,房地产开发与经营,86,1.0,0.655650632739341,0.0,0.0,0.0,4591,normal
C_681114,"Hello,心理学",54,5.0,0.787559203005063,0.0,1.0,4.0,2067,good
C_681115,中华戏曲艺术鉴赏,39,10.0,0.5274193548387097,0.0,0.0,10.0,825,bad
C_681122,船舶文化,88,8.0,0.655650632739341,0.0,8.0,0.0,896,good
C_681130,民族健身操赏析与实操,57,1.0,0.7612244897959183,0.0,0.0,0.0,604,good
C_681137,跨国经营与管理,108,1.0,0.655650632739341,0.0,0.0,0.0,1632,normal
C_681152,科学传播公开课,19,1.0,0.0,0.0,0.0,0.0,425,bad
C_681154,大学物理(上),68,1.0,0.655650632739341,0.0,0.0,0.0,1886,normal
C_681158,大学物理(下),57,1.0,0.655650632739341,0.0,0.0,0.0,869,bad
C_681163,太极拳文化及传统杨氏太极拳教学,26,1.0,0.655650632739341,0.0,0.0,0.0,602,bad
C_681169,财务会计进化论,80,1.0,0.655650632739341,0.0,0.0,0.0,49,normal
C_681186,超级英雄的物理学——从动漫画及科幻电影学物理（2019秋）,52,1.0,0.655650632739341,0.0,0.0,0.0,177,bad
C_681197,多益FUN轻松,71,1.0,0.655650632739341,0.0,0.0,0.0,132,bad
C_681200,为公司把把脉,98,1.0,0.655650632739341,0.0,0.0,0.0,482,normal
C_681212,设计行不行,46,1.0,0.655650632739341,0.0,0.0,0.0,1094,bad
C_681255,时尚化妆造型,45,926.0,0.6323908731148385,6.0,829.0,91.0,16831,good
C_681299,统计学,42,1.0,0.655650632739341,0.0,0.0,0.0,4571,normal
C_681301,材料学概论,37,1.0,0.655650632739341,0.0,0.0,0.0,232,bad
C_681331,钻井与完井工程,46,1.0,0.6533333333333333,0.0,0.0,0.0,437,bad
C_681333,风景园林规划设计I,52,1.0,0.655650632739341,0.0,0.0,0.0,2633,normal
C_681336,智能设备应用开发（基于Android平台）,67,1.0,0.0,0.0,0.0,0.0,686,bad
C_681339,服装立体裁剪,66,23.0,0.6719072431627144,0.0,23.0,0.0,2578,good
C_681341,美国社会与文化,64,1.0,0.655650632739341,0.0,0.0,0.0,1902,normal
C_681345,极速悟透3ds Max,149,1.0,0.655650632739341,0.0,0.0,0.0,3602,normal
C_681353,大学物理（低学时）,83,1.0,0.655650632739341,0.0,0.0,0.0,3628,normal
C_681355,PPT入门到精通,53,1.0,1.0,0.0,0.0,0.0,5008,good
C_681357,万物互联,34,1.0,0.655650632739341,0.0,0.0,0.0,609,bad
C_681362,This is AI,2,1.0,0.655650632739341,0.0,0.0,0.0,4604,bad
C_681365,学前儿童发展,60,1.0,0.655650632739341,0.0,0.0,0.0,3325,normal
C_681369,外贸跟单实务,110,1.0,0.655650632739341,0.0,0.0,0.0,1412,normal
C_681373,建筑工程招投标与合同管理,123,1.0,0.655650632739341,0.0,0.0,0.0,2914,normal
C_681380,中国广告简史,48,1.0,0.655650632739341,0.0,0.0,0.0,862,bad
C_681382,国际商务（英语授课),118,1.0,0.655650632739341,0.0,0.0,0.0,1885,normal
C_681389,婚礼文化,41,1.0,0.655650632739341,0.0,0.0,0.0,974,bad
C_681396,会展策划与管理,64,1.0,0.655650632739341,0.0,0.0,0.0,3472,normal
C_681397,百年旅顺,106,1.0,0.4285714285714285,0.0,0.0,0.0,199,bad
C_681400,钢结构设计,109,1.0,0.655650632739341,0.0,0.0,0.0,1783,normal
C_681406,环境工程概论,61,3.0,0.6211442786069652,1.0,0.0,2.0,1049,bad
C_681407,现代企业文化,67,1.0,0.655650632739341,0.0,0.0,0.0,1647,normal
C_681409,时装工业导论,44,1.0,0.655650632739341,0.0,0.0,0.0,633,bad
C_681411,逐梦心言——手语的学习,50,1.0,0.8986018213557276,0.0,0.0,0.0,811,good
C_681414,飞机推进系统原理,97,1.0,0.655650632739341,0.0,0.0,0.0,2248,normal
C_681421,对外汉语教学概论,31,1.0,0.655650632739341,0.0,0.0,0.0,565,bad
C_681422,植物造景,79,1.0,0.655650632739341,0.0,0.0,0.0,2312,normal
C_681429,土木工程材料,162,1.0,0.655650632739341,0.0,0.0,0.0,2618,normal
C_681432,钢筋混凝土与砌体结构,175,1.0,0.655650632739341,0.0,0.0,0.0,5400,normal
C_681439,烹调工艺学,104,1.0,0.655650632739341,0.0,0.0,0.0,1315,normal
C_681444,青年AI自强计划-计算机视觉课程,47,3.0,0.655650632739341,1.0,2.0,0.0,595,good
C_681452,航空电机学,174,1.0,0.655650632739341,0.0,0.0,0.0,1746,normal
C_681453,趣谈“一带一路”国家,67,1.0,0.6228070175438596,1.0,0.0,0.0,591,bad
C_681460,PLC应用技术,127,42.0,0.811868561948624,2.0,19.0,21.0,5310,good
